dataset,d_prime,step,evr,evr_pca
mnist784,10,20,0.47938185826929486,0.48915557457567155
mnist784,10,40,0.48096305370238923,0.48915557457567155
mnist784,10,60,0.4797683355568756,0.48915557457567155
mnist784,10,80,0.479388558452836,0.48915557457567155
mnist784,10,100,0.4811492202348422,0.48915557457567155
mnist784,10,120,0.479671176833441,0.48915557457567155
mnist784,10,140,0.4804086761767862,0.48915557457567155
mnist784,10,160,0.4795244718230176,0.48915557457567155
mnist784,10,180,0.47922911554328934,0.48915557457567155
mnist784,10,200,0.4800122540619364,0.48915557457567155
mnist784,10,220,0.4800596598945067,0.48915557457567155
mnist784,10,240,0.48067202056003333,0.48915557457567155
mnist784,10,260,0.47986573042102515,0.48915557457567155
mnist784,10,280,0.479960111372158,0.48915557457567155
mnist784,10,300,0.4812141833232057,0.48915557457567155
mnist784,10,320,0.481241978333157,0.48915557457567155
mnist784,10,340,0.4800117639895495,0.48915557457567155
mnist784,10,360,0.48113913415407145,0.48915557457567155
mnist784,10,380,0.4806263023524859,0.48915557457567155
mnist784,10,400,0.4808010600743612,0.48915557457567155
mnist784,10,420,0.47985711790426594,0.48915557457567155
mnist784,10,440,0.48086624440863207,0.48915557457567155
mnist784,10,460,0.4797680890358317,0.48915557457567155
mnist784,10,480,0.4792117160900132,0.48915557457567155
mnist784,10,500,0.480925174026462,0.48915557457567155
mnist784,10,520,0.4803861777430385,0.48915557457567155
mnist784,10,540,0.48115858779235804,0.48915557457567155
mnist784,10,560,0.4798757592129633,0.48915557457567155
mnist784,10,580,0.4807421337986883,0.48915557457567155
mnist784,10,600,0.48074154114872575,0.48915557457567155
mnist784,10,620,0.4812146633644222,0.48915557457567155
mnist784,10,640,0.4794845582871819,0.48915557457567155
mnist784,10,660,0.4798222776041033,0.48915557457567155
mnist784,10,680,0.4805187813830085,0.48915557457567155
mnist784,10,700,0.48085645748050254,0.48915557457567155
mnist784,10,720,0.4800144990490542,0.48915557457567155
mnist784,10,740,0.4805881371722789,0.48915557457567155
mnist784,10,760,0.48019607891107663,0.48915557457567155
mnist784,10,780,0.4796757389079001,0.48915557457567155
mnist784,10,800,0.4795515167712388,0.48915557457567155
mnist784,10,820,0.48125477703836705,0.48915557457567155
mnist784,10,840,0.4794593540930299,0.48915557457567155
mnist784,10,860,0.4799535699895061,0.48915557457567155
mnist784,10,880,0.4798751235280709,0.48915557457567155
mnist784,10,900,0.4809414394882693,0.48915557457567155
mnist784,10,920,0.47948997627599677,0.48915557457567155
mnist784,10,940,0.4805373764998207,0.48915557457567155
mnist784,10,960,0.47972177317396375,0.48915557457567155
mnist784,10,980,0.4803223698307822,0.48915557457567155
mnist784,10,1000,0.48098699748326323,0.48915557457567155
mnist784,10,1020,0.48151974278386617,0.48915557457567155
mnist784,10,1040,0.4794666517192262,0.48915557457567155
mnist784,10,1060,0.4796523905570406,0.48915557457567155
mnist784,10,1080,0.47965548972143507,0.48915557457567155
mnist784,10,1100,0.4795807735420649,0.48915557457567155
mnist784,10,1120,0.4812357400643423,0.48915557457567155
mnist784,10,1140,0.4808577976523481,0.48915557457567155
mnist784,10,1160,0.48059194780812764,0.48915557457567155
mnist784,10,1180,0.4800774115367222,0.48915557457567155
mnist784,10,1200,0.4806885546771955,0.48915557457567155
mnist784,10,1220,0.480319913621399,0.48915557457567155
mnist784,10,1240,0.48027927922120284,0.48915557457567155
mnist784,10,1260,0.4807004229455916,0.48915557457567155
mnist784,10,1280,0.4805919455254154,0.48915557457567155
mnist784,10,1300,0.4806847243595667,0.48915557457567155
mnist784,10,1320,0.4811593581319686,0.48915557457567155
mnist784,10,1340,0.479751958943585,0.48915557457567155
mnist784,10,1360,0.4803666166339317,0.48915557457567155
mnist784,10,1380,0.4799279468086104,0.48915557457567155
mnist784,10,1400,0.47940277834721473,0.48915557457567155
mnist784,10,1420,0.4802794839000268,0.48915557457567155
mnist784,10,1440,0.4807888459214208,0.48915557457567155
mnist784,10,1460,0.47982854772258793,0.48915557457567155
mnist784,10,1480,0.4795867083215762,0.48915557457567155
mnist784,10,1500,0.48112394829485045,0.48915557457567155
mnist784,10,1520,0.47841347726132977,0.48915557457567155
mnist784,10,1540,0.4804769176096555,0.48915557457567155
mnist784,10,1560,0.4810327129466448,0.48915557457567155
mnist784,10,1580,0.4792223504623505,0.48915557457567155
mnist784,10,1600,0.4809054395476795,0.48915557457567155
mnist784,10,1620,0.4804885609355215,0.48915557457567155
mnist784,10,1640,0.4806807845008576,0.48915557457567155
mnist784,10,1660,0.4793076817232285,0.48915557457567155
mnist784,10,1680,0.4799015235506514,0.48915557457567155
mnist784,10,1700,0.48033653501974977,0.48915557457567155
mnist784,10,1720,0.480887884984448,0.48915557457567155
mnist784,10,1740,0.48045838612214403,0.48915557457567155
mnist784,10,1760,0.4803357027344738,0.48915557457567155
mnist784,10,1780,0.47978400503642565,0.48915557457567155
mnist784,10,1800,0.4807953654979121,0.48915557457567155
mnist784,10,1820,0.4805000041414453,0.48915557457567155
mnist784,10,1840,0.4801041683026275,0.48915557457567155
mnist784,10,1860,0.48013943162945744,0.48915557457567155
mnist784,10,1880,0.4805522454721667,0.48915557457567155
mnist784,10,1900,0.48050968449932513,0.48915557457567155
mnist784,10,1920,0.4780119376228474,0.48915557457567155
mnist784,10,1940,0.48088592327831475,0.48915557457567155
mnist784,10,1960,0.4789895390797467,0.48915557457567155
mnist784,10,1980,0.47916141385118105,0.48915557457567155
mnist784,10,2000,0.4813432274752994,0.48915557457567155
mnist784,10,2020,0.48149520555854053,0.48915557457567155
mnist784,10,2040,0.4795963244649041,0.48915557457567155
mnist784,10,2060,0.4804974300635397,0.48915557457567155
mnist784,10,2080,0.47922529722053236,0.48915557457567155
mnist784,10,2100,0.48011216257049033,0.48915557457567155
mnist784,10,2120,0.47998268512690734,0.48915557457567155
mnist784,10,2140,0.4801787951301381,0.48915557457567155
mnist784,10,2160,0.4808159867352237,0.48915557457567155
mnist784,10,2180,0.48114801910782234,0.48915557457567155
mnist784,10,2200,0.4809957687316765,0.48915557457567155
mnist784,10,2220,0.4802436219001628,0.48915557457567155
mnist784,10,2240,0.4794880841569107,0.48915557457567155
mnist784,10,2260,0.47946615741480814,0.48915557457567155
mnist784,10,2280,0.4807984637240726,0.48915557457567155
mnist784,10,2300,0.48006556789645405,0.48915557457567155
mnist784,10,2320,0.47968289695438043,0.48915557457567155
mnist784,10,2340,0.4811198405285063,0.48915557457567155
mnist784,10,2360,0.48045806771269495,0.48915557457567155
mnist784,10,2380,0.4805084676642662,0.48915557457567155
mnist784,10,2400,0.4806013871437184,0.48915557457567155
mnist784,10,2420,0.480042864757669,0.48915557457567155
mnist784,10,2440,0.4798170444154473,0.48915557457567155
mnist784,10,2460,0.4811552600524646,0.48915557457567155
mnist784,10,2480,0.48022858232997556,0.48915557457567155
mnist784,10,2500,0.47992939167222837,0.48915557457567155
mnist784,10,2520,0.4802825917042755,0.48915557457567155
mnist784,10,2540,0.48043356749074706,0.48915557457567155
mnist784,10,2560,0.47986103304768074,0.48915557457567155
mnist784,10,2580,0.4803809967918914,0.48915557457567155
mnist784,10,2600,0.48098624954334385,0.48915557457567155
mnist784,10,2620,0.4801422739382136,0.48915557457567155
mnist784,10,2640,0.4806146378979434,0.48915557457567155
mnist784,10,2660,0.48039729665950887,0.48915557457567155
mnist784,10,2680,0.47987933896127166,0.48915557457567155
mnist784,10,2700,0.4805915954684208,0.48915557457567155
mnist784,10,2720,0.4803881441060739,0.48915557457567155
