dataset,d_prime,lr,evr,evr_pca,efficiency
mnist784,2,0.001,0.16892590403260496,0.16901046457447233,0.9994996727446418
mnist784,2,0.005,0.16826240975472956,0.16901046457447233,0.9955739141855731
mnist784,2,0.01,0.16731196465501677,0.16901046457447233,0.9899503268999823
mnist784,2,0.05,0.16297592617016793,0.16901046457447233,0.9642948830446806
mnist784,2,0.1,0.16095866724032865,0.16901046457447233,0.9523591787383333
mnist784,2,0.5,0.15822172106863056,0.16901046457447233,0.9361652337149345
mnist784,5,0.001,0.3332902380146568,0.33342396018061515,0.999598942541844
mnist784,5,0.005,0.33232716579116683,0.33342396018061515,0.9967105111796579
mnist784,5,0.01,0.3309739249196582,0.33342396018061515,0.992651892024707
mnist784,5,0.05,0.3234371650172573,0.33342396018061515,0.9700477579417267
mnist784,5,0.1,0.31913243856999446,0.33342396018061515,0.957137088759671
mnist784,5,0.5,0.3123697923384894,0.33342396018061515,0.9368546644616639
mnist784,10,0.001,0.4889899805553422,0.48915557457567155,0.9996614696245197
mnist784,10,0.005,0.48801337849173226,0.48915557457567155,0.9976649635753817
mnist784,10,0.01,0.48664947048201007,0.48915557457567155,0.9948766727317062
mnist784,10,0.05,0.47753773359304896,0.48915557457567155,0.9762491902648749
mnist784,10,0.1,0.47072788725224696,0.48915557457567155,0.962327553275029
mnist784,10,0.5,0.45630793986309875,0.48915557457567155,0.9328482870893025
mnist784,20,0.001,0.6441325842832133,0.6446872088959428,0.9991396996790439
mnist784,20,0.005,0.6437683868610555,0.6446872088959428,0.9985747785558508
mnist784,20,0.01,0.6426244078325609,0.6446872088959428,0.9968003071335718
mnist784,20,0.05,0.6337210484814109,0.6446872088959428,0.9829899519282972
mnist784,20,0.1,0.6258865374834237,0.6446872088959428,0.9708375299632265
mnist784,20,0.5,0.6038665868916341,0.6446872088959428,0.9366815078055978
mnist784,50,0.001,0.8213437691096239,0.8253937961987818,0.9950932184033734
mnist784,50,0.005,0.824824058877977,0.8253937961987818,0.9993097387896194
mnist784,50,0.01,0.8241076775860023,0.8253937961987818,0.9984418121159833
mnist784,50,0.05,0.818482557285148,0.8253937961987818,0.9916267375094622
mnist784,50,0.1,0.8129181516970194,0.8253937961987818,0.9848852213825485
mnist784,50,0.5,0.7900293470515323,0.8253937961987818,0.9571544524442577
glove100,2,0.001,0.07239649115620683,0.09511906063814415,0.7611144461531274
glove100,2,0.005,0.09510157587504671,0.09511906063814415,0.9998161802379024
glove100,2,0.01,0.0951154549695068,0.09511906063814415,0.9999620931008657
glove100,2,0.05,0.09506595513762624,0.09511906063814415,0.9994416944389312
glove100,2,0.1,0.09500223395074059,0.09511906063814415,0.9987717846810115
glove100,2,0.5,0.09453858240004377,0.09511906063814415,0.99389735102296
glove100,5,0.001,0.11784046377524317,0.16309157674659916,0.7225416917658221
glove100,5,0.005,0.15827596335429722,0.16309157674659916,0.9704729484602131
glove100,5,0.01,0.16290779072723052,0.16309157674659916,0.9988731115178671
glove100,5,0.05,0.16302775713839446,0.16309157674659916,0.9996086885081511
glove100,5,0.1,0.1629384081447491,0.16309157674659916,0.9990608429637784
glove100,5,0.5,0.1622448175178558,0.16309157674659916,0.9948080750359106
glove100,10,0.001,0.17960288937286287,0.24469745013623187,0.7339794071122174
glove100,10,0.005,0.23632372905294333,0.24469745013623187,0.9657792875298594
glove100,10,0.01,0.24311017964053722,0.24469745013623187,0.9935133345492119
glove100,10,0.05,0.24462810381522135,0.24469745013623187,0.9997166038265952
glove100,10,0.1,0.2445180803358056,0.24469745013623187,0.9992669731526569
glove100,10,0.5,0.24360912931754378,0.24469745013623187,0.9955523818573419
glove100,20,0.001,0.2927002914521856,0.3751221288618735,0.7802799913197415
glove100,20,0.005,0.3572452780967801,0.3751221288618735,0.9523439184477543
glove100,20,0.01,0.3693616437201926,0.3751221288618735,0.9846437074795925
glove100,20,0.05,0.37452535832785655,0.3751221288618735,0.9984091300189952
glove100,20,0.1,0.37476862402837274,0.3751221288618735,0.9990576273530615
glove100,20,0.5,0.3737451228385065,0.3751221288618735,0.9963291794393873
glove100,50,0.001,0.5863045027444667,0.6752137891049945,0.8683242436763942
glove100,50,0.005,0.6512421922931311,0.6752137891049945,0.9644977676720167
glove100,50,0.01,0.6668615194614336,0.6752137891049945,0.9876301850194262
glove100,50,0.05,0.6746349122826257,0.6752137891049945,0.9991426762431258
glove100,50,0.1,0.6748276246102284,0.6752137891049945,0.9994280855915606
glove100,50,0.5,0.6740393158564141,0.6752137891049945,0.9982605905454964
