exp,dataset,d_prime,clip,batch,epochs,sigma,evr,evr_std,evr_pca,evr_random
epochs,mnist784,10,5.0,256,1,1.92044500006807,0.2717166692618676,0.0019855950906598452,0.48915557457567155,0.012746208378210838
epochs,mnist784,10,5.0,256,2,2.015519592901751,0.37242804482448405,0.0029168181390659934,0.48915557457567155,0.012746208378210838
epochs,mnist784,10,5.0,256,3,2.125372413155265,0.41459864908786775,0.0050641268531884205,0.48915557457567155,0.012746208378210838
epochs,mnist784,10,5.0,256,5,2.4024826055748933,0.4506520491079309,0.004895325469669413,0.48915557457567155,0.012746208378210838
epochs,mnist784,10,5.0,256,10,3.260415152070504,0.460120343206446,0.0009983826022796833,0.48915557457567155,0.012746208378210838
epochs,mnist784,10,5.0,256,20,4.5282130344994975,0.4431651288489948,0.0012600457397350534,0.48915557457567155,0.012746208378210838
epochs,glove100,10,2.0,256,1,1.7557184676397282,0.22859098313815496,0.0009287601500471312,0.24469745013623187,0.09941210630892612
epochs,glove100,10,2.0,256,2,1.776370401151989,0.23708286645362395,0.0009194196315209811,0.24469745013623187,0.09941210630892612
epochs,glove100,10,2.0,256,3,1.7962891951369406,0.2389280401621113,0.0008228256656677809,0.24469745013623187,0.09941210630892612
epochs,glove100,10,2.0,256,5,1.8353298774253557,0.24016482950058138,0.00031330254893562813,0.24469745013623187,0.09941210630892612
epochs,glove100,10,2.0,256,10,1.9445117173539161,0.2400402277882214,0.00013018095026580455,0.24469745013623187,0.09941210630892612
epochs,glove100,10,2.0,256,20,2.2127274506387415,0.23966157726324058,0.00011737386182869787,0.24469745013623187,0.09941210630892612
